id,support,typeDataOfPeriod,typeOfSupport,typeOfBuisness,typeOfActivity,regionOfSupport,whereToGet
1,Подберите локацию и получите бесплатный анализ рынка и расчеты для бизнес-планирования по 160+ видам деятельности,Неизвестно,"Маркетинг и продвижение
Консультирование
Доступно онлайн",Индивидуальные предприниматели,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
2,,Неизвестно,,Индивидуальные предприниматели,Неизвестно,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
3,Процедура подтверждения соответствия продукции на экспорт требованиям стандартов халяль органом сертификации «Роскачество-Халяль»,Период приема заявок с 01.01.2024 по 31.12.2031,"Консультирование
Регистрация, разрешения, экспертиза","Юридическое лицо, Индивидуальный предприниматель","10 Производство пищевых продуктов
11 Производство напитков",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
4,Субсидии на технологическое присоединение объектов зарядной инфраструктуры к электрическим сетям,Период приема заявок с 05.11.2024 по 20.12.2024,"Туризм
Деньги","Юридическое лицо, Индивидуальный предприниматель","35.12 Передача электроэнергии и технологическое присоединение к распределительным электросетям
35.14 Торговля электроэнергией
45.20 Техническое обслуживание и ремонт автотранспортных средств
52.29 Деятельность вспомогательная прочая, связанная с перевозками
64.20 Деятельность холдинговых компаний
72.19 Научные исследования и разработки в области естественных и технических наук прочие",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
5,Процедура подтверждения соответствия услуг требованиям стандартов халяль органом сертификации «Роскачество-Халяль»,Период приема заявок с 01.01.2024 по 31.12.2031,"Консультирование
Регистрация, разрешения, экспертиза","Юридическое лицо, Индивидуальный предприниматель",55 Деятельность по предоставлению мест для временного проживания,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
6,Сертификация продукции на соответствие требованиям органического производства,Период приема заявок с 01.01.2024 по 31.12.2031,"Консультирование
Регистрация, разрешения, экспертиза","Юридическое лицо, Индивидуальный предприниматель","10 Производство пищевых продуктов
11 Производство напитков",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
7,Субсидии на закупку оборудования объектов зарядной инфраструктуры,Период приема заявок с 06.11.2024 по 20.12.2024,"Туризм
Деньги","Юридическое лицо, Индивидуальный предприниматель","35.12 Передача электроэнергии и технологическое присоединение к распределительным электросетям
35.14 Торговля электроэнергией
45.20 Техническое обслуживание и ремонт автотранспортных средств
52.29 Деятельность вспомогательная прочая, связанная с перевозками
64.20 Деятельность холдинговых компаний
72.19 Научные исследования и разработки в области естественных и технических наук прочие",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
8,Процедура подтверждения соответствия продукции требованиям стандартов халяль органом сертификации «Роскачество-Халяль»,Период приема заявок с 01.01.2024 по 31.12.2031,"Консультирование
Регистрация, разрешения, экспертиза","Юридическое лицо, Индивидуальный предприниматель","10 Производство пищевых продуктов
11 Производство напитков",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
9,,,,"Юридическое лицо, Индивидуальный предприниматель","03.11 Рыболовство морское
03.21 Рыбоводство морское",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
10,,,,"Юридическое лицо, Индивидуальный предприниматель","10.31 Переработка и консервирование картофеля
10.32 Производство соковой продукции из фруктов и овощей
10.82 Производство какао, шоколада и сахаристых кондитерских изделий
10.83 Производство чая и кофе
10.84 Производство приправ и пряностей
10.85 Производство готовых пищевых продуктов и блюд
10.86 Производство детского питания и диетических пищевых продуктов
10.89 Производство прочих пищевых продуктов, не включенных в другие группировки
10.9 Производство готовых кормов для животных
10.91 Производство готовых кормов для животных, содержащихся на фермах
10.92 Производство готовых кормов для непродуктивных животных
11.0 Производство напитков
11.01 Перегонка, очистка и смешивание спиртов
11.02 Производство вина из винограда
11.03 Производство сидра и прочих плодовых вин
11.04 Производство прочих недистиллированных напитков из сброженных материалов
11.05 Производство пива
11.06 Производство солода
11.07 Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках
56.10 Деятельность ресторанов и услуги по доставке продуктов питания
56.29 Деятельность предприятий общественного питания по прочим видам организации питания
56.30 Подача напитков",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
11,,,,"Юридическое лицо, Индивидуальный предприниматель",55.10 Деятельность гостиниц и прочих мест для временного проживания,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
12,Процесс создания и реализации системы управления качеством и безопасностью пищевых продуктов на основе принципов HACCP,Период приема заявок с 01.01.2024 по 31.12.2031,"Туризм
Консультирование","Юридическое лицо, Индивидуальный предприниматель","10.31 Переработка и консервирование картофеля
10.32 Производство соковой продукции из фруктов и овощей
10.82 Производство какао, шоколада и сахаристых кондитерских изделий
10.83 Производство чая и кофе
10.84 Производство приправ и пряностей
10.85 Производство готовых пищевых продуктов и блюд
10.86 Производство детского питания и диетических пищевых продуктов
10.89 Производство прочих пищевых продуктов, не включенных в другие группировки
10.9 Производство готовых кормов для животных
10.91 Производство готовых кормов для животных, содержащихся на фермах
10.92 Производство готовых кормов для непродуктивных животных
11.0 Производство напитков
11.01 Перегонка, очистка и смешивание спиртов
11.02 Производство вина из винограда
11.03 Производство сидра и прочих плодовых вин
11.04 Производство прочих недистиллированных напитков из сброженных материалов
11.05 Производство пива
11.06 Производство солода
11.07 Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках
56.10 Деятельность ресторанов и услуги по доставке продуктов питания
56.29 Деятельность предприятий общественного питания по прочим видам организации питания
56.30 Подача напитков",Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
13,"Услуга по содействию участию в закупках индивидуальным предпринимателям. Услуга предоставляется индивидуальному предпринимателю по следующим направлениям:
- консультирование по вопросам участия в закупках, предусмотренных преференциях в соответствии с действующим федеральных законодательством (Федеральный закон от 18 июля 2011 г. № 223-ФЗ
«О закупках товаров, работ, услуг отдельными видами юридических лиц», постановление Правительства Российской Федерации от 11 декабря 2014 г. № 1352 «Об особенностях участия субъектов малого и среднего предпринимательства в закупках товаров, работ, услуг отдельными видами юридических лиц»), а также по иным вопросам в целях содействия участию в закупках;
- информирование об обучающих программах в сфере закупок;
- подбор номенклатуры товаров, работ, услуг в виде графического и текстового описания.",Подача заявок приостановлена 25.09.2023,"Маркетинг и продвижение
Консультирование
Доступно онлайн",Индивидуальный предприниматель,Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
14,. Центр поддержки предпринимательства проводит кабинетное маркетинговое исследование,,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
15,. Центр поддержки предпринимательства разрабатывает фирменный стиль (логотип и брэнд-бук),,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
16,. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам применения трудового законодательства Российской Федерации,,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
17,. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам правового обеспечения деятельности,,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП, Самозанятый ФЛ",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
18,. Центр поддержки предпринимательства оказывает бесплатное консультирование по вопросам патентно-лицензионного сопровождения деятельности,,,"Юридическое лицо, Индивидуальный предприниматель, Самозанятый ИП",Краснодарский край,Краснодарский край,https://xn--l1agf.xn--p1ai/services/support/filter/
